Spinghar Institute Of Higher Education,AFG,Afghanistan,Nangarhar,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Bayazid Roshan University Of Nangarhar Faculty Of Medicine,AFG,Afghanistan,Nangarhar,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Kabul Medical University Faculty Of Curative Medicine,AFG,Afghanistan,Kabul,KUMS,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Balkh University Faculty Of Medicine,AFG,Afghanistan,Balkh,BU,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Griffith University,AGO,Angola,Queensland,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidade Agostinho Neto,AGO,Angola,Luanda,UAN,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidade Katyavala Buila,AGO,Angola,Benguela,UKB,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidade 11 De Novembro,AGO,Angola,Cabinda,UON,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidade Lueji A ́Nkonde,AGO,Angola,Dundo,ULAN,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Hebei North University,AGO,Angola,Hebei,HBNU,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidade Mandume Ya Ndemufayo,AGO,Angola,Lubango,UMN,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidade Jean Piaget De Angola,AGO,Angola,Benguela,UNIPIAGET,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universiteti Zoja E Këshillit Të Mirë Fakulteti I Mjekësisë,ALB,Albania,Autonome e Trentos,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Dubai Medical College For Girls,ARE,United Arab Emirates,Dubai,DMC,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Gulf Medical University,ARE,United Arab Emirates,Ajman,GMU,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Rak College Of Medical Sciences,ARE,United Arab Emirates,Ras Al-Khaimah,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
United Arab Emirates University College Of Medicine And Health Sciences,ARE,United Arab Emirates,Al Ain,UAEU,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
University Of Sharjah College Of Medicine,ARE,United Arab Emirates,Sharjah,UOS,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad De Ciencias Empresariales Y Sociales Facultad De Ciencias De La Salud,ARG,Argentina,Buenos Aires,UCES,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De Mar Del Plata Escuela Superior De Medicina,ARG,Argentina,de Buenos Aires,UNMDP,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Instituto Universitario De Ciencias De La Salud Facultad De Medicina Fundación Barceló,ARG,Argentina,de Buenos Aires,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad De Buenos Aires Facultad De Medicina,ARG,Argentina,de Buenos Aires,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De Córdoba Facultad De Ciencias Médicas,ARG,Argentina,Cordoba,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De Rosario Facultad De Ciencias Médicas ,ARG,Argentina,Santa Fe,FCM,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Adventista Del Plata Facultad De Ciencias De La Salud,ARG,Argentina,Entre Rios,UAP,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Favaloro Facultad De Ciencias Médicas,ARG,Argentina,Buenos Aires,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad De Mendoza Facultad De Ciencias De La Salud,ARG,Argentina,Mendoza,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad De Morón Facultad De Medicina,ARG,Argentina,Buenos Aires,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Fasta,ARG,Argentina,Mar del Plata,FASTA,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De Tucumán Facultad De Medicina,ARG,Argentina,Tucumán,UNT,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Del Aconcagua Facultad De Ciencias Médicas,ARG,Argentina,Mendoza,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Instituto Universitario Escuela De Medicina Del Hospital Italiano,ARG,Argentina,Buenos Aires,IUHI,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Católica De Córdoba Facultad De Medicina,ARG,Argentina,Cordoba,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De La Plata Facultad De Ciencias Médicas ,ARG,Argentina,Buenos Aires,UNLP,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De Cuyo Facultad De Ciencias Médicas,ARG,Argentina,Buenos Aires,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
"Universidad Abierta Interamericana Facultad De Medicina y Ciencias De La Salud, Sede Buenos Aires",ARG,Argentina,Buenos Aires,UAI,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional Del Litoral Facultad De Ciencias Médicas,ARG,Argentina,Santa Fe,UNL,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Del Salvador Facultad De Medicina,ARG,Argentina,Manitoba,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional Del Nordeste Facultad De Medicina,ARG,Argentina,Corrientes,UNNE,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De La Rioja Escuela De Medicina,ARG,Argentina,La Rioja,UNLAR,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional De La Rioja Escuela De Medicina ,ARG,Argentina,La Rioja,UNLAR,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional Del Sur,ARG,Argentina,Buenos Aires,UNS,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Maimonides,ARG,Argentina,Ontario,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Universidad Nacional Del Comahue,ARG,Argentina,de Neuquén,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Armenian Medical Institute Faculty Of Medicine,ARM,Armenia,Yerevan,AMI,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Yerevan Haybusak University Faculty Of Medicine,ARM,Armenia,Yerevan,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Yerevan State Medical University Named For Mkhitar Heratsi,ARM,Armenia,Yerevan,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Yerevan University Of Traditional Medicine,ARM,Armenia,Yerevan,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Xavier University School Of Medicine,ABW,Aruba,‎Oranjestad,XUSOM,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
American University Of Barbados School Of Medicine,ATG,Antigua and Barbuda,Caribbean,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
University Of Health Sciences Antigua School Of Medicine,ATG,Antigua and Barbuda,Caribbean,UHSA,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Metropolitan University College Of Medicine,ATG,Antigua and Barbuda,Hebei,,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
American University Of Antigua College Of Medicine,ATG,Antigua and Barbuda,Caribbean,AUA,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Medical University Of The Americas,ATG,Antigua and Barbuda,Saint kitts and Nevis,MUA,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
Australian National University,AUS,Australia,Canberra,ANU,Physician,7275dbe6-7416-4352-b2d9-ebf3d580cc0d
